,title,price,adress,image_link,page,category
58,Mitsubishi Pajero 2004,2000000,Virage, media/annonces/pics/thumbs/46c93cc376058ee9df1ef90bdd16a17c.jpg ,2,vehicles
59,Honda @ 150cc,400000,Cambérène, media/annonces/pics/thumbs/32ca4523d69d24d5a4d0da94ef5fc4a8.jpeg ,2,vehicles
60,Kymco agility 150,370000,Cambérène, media/annonces/pics/thumbs/1c819bd683a453f85151082547071801.jpeg ,2,vehicles
61,Peugeot 308 T9,5200000,Fass, media/annonces/pics/thumbs/9acff006ea9e1bf1e499228b4ecdfff4.jpeg ,2,vehicles
62,Mitsibishi RvR 2017 Automatique Essence sous douane,7000000,Scat Urbam, media/annonces/pics/thumbs/e1905419d1b6416ce31ad3cd70d17146.jpeg ,2,vehicles
63,CRYSLER 200 2016 A VENDRE,7500000,Sacré Coeur, media/annonces/pics/thumbs/8cfd5d59c10f46546a3a0168bffc648b.jpg ,2,vehicles
64,JEEP COMPAS 2017 A VENDRE,12500000,Sacré Coeur, media/annonces/pics/thumbs/d3403c4570e2c2a2329dcb8650a7c07f.jpg ,2,vehicles
65,Jeep Cherokee 2015,6500000,Parcelles assainies, media/annonces/pics/thumbs/616b81045c5a8ee41394cd0c47355307.jpg ,2,vehicles
66,Nissan Rogue 2009,2850000,Cité Batrain, media/annonces/pics/thumbs/6aa59ad750e64fe6c97550d257ad5010.jpg ,2,vehicles
67,KIA SPORTAGE 2016 A VENDRE,14700000,Sacré Coeur, media/annonces/pics/thumbs/e20a1326ad37fd07c3469b470adb394f.jpg ,2,vehicles
68,FORD ESCAPE TITANIUM 2014 A VENDRE,7800000,Sacré Coeur, media/annonces/pics/thumbs/df81b44295c343fd366c4362083a7512.jpg ,2,vehicles
69,Ford Focus 2014,4000000,Castors, media/annonces/pics/thumbs/d6c547d1f9bd0b995bc403dc8a3eee88.jpg ,2,vehicles
70,Hyundai Tucson 2007,2950000,Dakar, media/annonces/pics/thumbs/03d934fb1fc759ead82441b3c2f45a8a.jpg ,2,vehicles
71,Renault Clio 3,3000000,Dakar, media/annonces/pics/thumbs/272cce65a61de6dedb3305a4cfef0b1b.jpg ,2,vehicles
72,Ford Focus 2012 Venant,4800000,Keur Massar, media/annonces/pics/thumbs/5f7079be409e2743c7936da2ddead824.jpg ,2,vehicles
73,Hyandai elantra 2015 Automatique Essence full options venant déjà dédouané,6000000,Mbao, media/annonces/pics/thumbs/d260b7244784b5a53be830554de6d80b.jpeg ,2,vehicles
74,Mini aspirateur Portatif sans fil Rechargeable,45000,Dakar, media/annonces/pics/thumbs/9160dcd765461bc08bc5ff4478ef1fe7.jpg ,2,vehicles
75,Ford Focus,4500000,Almadies, media/annonces/pics/thumbs/d708d52e9d4a935725453ab3a7fbf2fb.jpeg ,2,vehicles
76,Hyundai Elantra,5850000,Liberté 6, media/annonces/pics/thumbs/ca582db87597ba2d7f27a6bb2e19c802.jpeg ,2,vehicles
77,Hyundai  Tucson 4/4 Automatique  Essence⛽️ Annee 2015 ,8700000,Liberté 6, media/annonces/pics/thumbs/4bf43e12b1c188152f498a514d4bc3f4.jpeg ,2,vehicles
78,BMW 324 diesel,700000,Pikine, img/nophoto.png ,2,vehicles
79,Hyundai Elantra 2015 Venant,6200000,Keur Massar, media/annonces/pics/thumbs/13c6ea5b33f5528f0b321d684cda5f16.jpg ,2,vehicles
80,Ford Fusion titanium,35000,Dakar, media/annonces/pics/thumbs/fa46aa05d5236228467be1ba5b7f72eb.jpeg ,2,vehicles
81,RANGE ROVER SPORT année 2015,12700000,Dakar, media/annonces/pics/thumbs/fc228b1c888127f5daaa79b71ff207c7.jpeg ,2,vehicles
82,MITSUBISHI MONTERO SPORT  4WD Année 2023     ,33000000,Dakar, media/annonces/pics/thumbs/3bcbacaf07431392f99fda98c6af3523.jpeg ,3,vehicles
83,Mercedes GLA 250 Année 2016,11500000,Dakar, media/annonces/pics/thumbs/d7313ddd0bc4c80a28ccb1708b5fd3ba.jpeg ,3,vehicles
84,Mercedes Gls 580 ,96000000,Dakar, media/annonces/pics/thumbs/3de5394990421a8175b57c090a136995.jpeg ,3,vehicles
85,Mercedes GLG  Année 2016,25000000,Dakar, media/annonces/pics/thumbs/edcea9c9f67393e9d2e2039b6691d3a4.jpeg ,3,vehicles
86,Mercedes gla 250,14500000,Dakar, media/annonces/pics/thumbs/19fe8e04512ce1241528f56298cd87fe.jpeg ,3,vehicles
87,Mercedes GLE 450d année a2017,29000000,Dakar, media/annonces/pics/thumbs/31f226e6ff949408a320487c03b6f102.jpeg ,3,vehicles
88,JEEP GRAND CHEROKEE 2017 A VENDRE,20500000,Sacré Coeur, media/annonces/pics/thumbs/5e4b89697a9bc0a87fb094079238248a.jpg ,3,vehicles
89,Voiture à un prix imbattable,3000000,VDN, media/annonces/pics/thumbs/b05edf7c3426b2001c77d077c542186c.jpg ,3,vehicles
90,Voiture à un prix imbattable,48000000,Dakar, media/annonces/pics/thumbs/d16aadbfd36a0a216c39fc5ffba7c7a0.jpg ,3,vehicles
91,Citroën c4 2017,7500000,Ouest Foire, media/annonces/pics/thumbs/87875174ce58b5695cb114f5e3e465b7.jpeg ,3,vehicles
92,KIA SPORTAGE,9500000,Nord Foire, media/annonces/pics/thumbs/022c54667ee1f8688ff3f14c33576437.jpeg ,3,vehicles
93,Hyundai palisade ,29000000,Nord Foire, media/annonces/pics/thumbs/e3ddf71390a67bb46a146a1504a9395e.jpeg ,3,vehicles
94,Ford  Escape année 2012,4800000,Dakar, media/annonces/pics/thumbs/63612e7d060332a62ba8a387dfe8d0d0.jpeg ,3,vehicles
95,Hyundai grandeur  Année 2013,4800000,Dakar, media/annonces/pics/thumbs/fb18fdf753bb26768dbde0b5fd5e0cb5.jpeg ,3,vehicles
96,Hyundai  Grandeur Sport,8700000,Dakar, media/annonces/pics/thumbs/711fe8398afc276fd26162c161db3d03.jpeg ,3,vehicles
97,Fiat Doblo 2012,2600000,Castors, media/annonces/pics/thumbs/2a033bc2f1f8a167866ce8d83458f54b.jpg ,3,vehicles
98,Kia Sportage,9800000,Fass, media/annonces/pics/thumbs/df8e12be467c9ea1dac5a3681ac33ba6.jpeg ,3,vehicles
99,Mazda Cx5,8900000,Fass, media/annonces/pics/thumbs/607c3392f1ff2c533cedf023f641f7cf.jpeg ,3,vehicles
100,Moto Cross Yamaha YZ 125cc 2temps 2016,1600000,Ngaparou, img/nophoto.png ,3,vehicles
101,Facilitez vous la vie avec cette Ford,3500000,Thiès, media/annonces/pics/thumbs/a538bff00087df310697751cd06ffd48.jpg ,3,vehicles
102,La Ford de votre vie !,6000000,Grand Yoff, media/annonces/pics/thumbs/e1049bdeebbe4703ed72f88017a5ede7.jpg ,3,vehicles
103,Scooter racing Aprilia,200000,Dakar, media/annonces/pics/thumbs/4c2b709a0ee7d9e0023a399653313db2.jpeg ,3,vehicles
104,Peugeot 2008 VENANT 2022,16500000,Dakar, media/annonces/pics/thumbs/11e5c9d223fe7ef77cd6f9ca0696d264.jpeg ,3,vehicles
105,HYUNDAI grand STAREX,16000000,Dakar, media/annonces/pics/thumbs/748481d5496940f64d4438aea83a6e25.jpeg ,3,vehicles
106,Citroen Elysée année 2021,5200000,Dakar, media/annonces/pics/thumbs/df9401d98318dc6540e538d9db1cfa1c.jpeg ,3,vehicles
107,LEXUS UX 200 SPORT,33000000,Dakar, media/annonces/pics/thumbs/6223b15d6159be78e8c60ca0290b5670.jpeg ,3,vehicles
108,Hyundai Elantra en location,35000,Dakar, media/annonces/pics/thumbs/3acec3b6fca4f3fe02c324d45afc312c.jpeg ,3,vehicles
109,Bus Renault Iliade année 2013,14000000,Dakar, media/annonces/pics/thumbs/5a17d3c470c53b8beec1c3ded1357c6c.jpeg ,3,vehicles
110,Chevrolet cobalt année 2008,2600000,Dakar, media/annonces/pics/thumbs/b70f8c43b04c05c555ff6eaf6c1d95b7.jpeg ,3,vehicles
111,FORD  ESCAPE CARRÉ année 2012,4850000,Dakar, media/annonces/pics/thumbs/80ee7976898a21d396416d3d04a5bc54.jpeg ,3,vehicles
112,Renault Duster  année   2014         ,6600000,Dakar, media/annonces/pics/thumbs/7e2d06a73fb535ea176524b5ba1b012a.jpeg ,3,vehicles
113,HYUNDAI TUCSON année 2016,11600000,Dakar, media/annonces/pics/thumbs/fc6cd164571932d9935426479f28bcbd.jpeg ,3,vehicles
114,Ford focus année 2014,3500000,Dakar, media/annonces/pics/thumbs/33ba988c40cb912442c854a61a63b2d1.jpeg ,3,vehicles
115,Chrysler 200 année 2015,5400000,Dakar, media/annonces/pics/thumbs/23e9b17c5ef00c189c95b9959d9ea35f.jpeg ,3,vehicles
116,Hyundai Elantra année 2014,4300000,Dakar, media/annonces/pics/thumbs/d487fb63aa59e1e1b95e031daefd5526.jpeg ,3,vehicles
117,Ford Edge 2020,18500000,Dakar, media/annonces/pics/thumbs/4d0a5eb6a06483abf00baf985c5202d5.jpg ,3,vehicles
118,Chevrolet Cruze 2013,2850000,Derklé, media/annonces/pics/thumbs/b05142b88487f71bc67a42eb9cf16814.jpg ,3,vehicles
119,Ford fusion à louer,35000,Dakar, media/annonces/pics/thumbs/8b4762b6b1e7d1352649c3cdafc0d1c8.jpeg ,3,vehicles
120,Ford Escape en location,40000,Dakar, media/annonces/pics/thumbs/12eeed9f0ef0fd9983084a2cfd1262d6.jpeg ,3,vehicles
121,Ford fusion à louer,30000,Dakar, media/annonces/pics/thumbs/e363dc6a79e6142e6d781c07efe010ef.jpeg ,3,vehicles
122,Jeep Cherokee à louer,35000,Dakar, media/annonces/pics/thumbs/40219d38c78f27d9e53b10033ae40f21.jpeg ,4,vehicles
123,KIA Sportage à louer,45000,Dakar, media/annonces/pics/thumbs/7180dfbf865d281c45528d8561672b49.jpeg ,4,vehicles
124,Pick-up disponible en location,50000,Dakar, media/annonces/pics/thumbs/c5a5df6f965aa0462bd6b8d7db11624c.jpeg ,4,vehicles
125,Mitsubishi à louer,60000,Dakar, media/annonces/pics/thumbs/e9916e129c45b587c30740733f1d9341.jpeg ,4,vehicles
126,BMW X3 XDRIVE année 2015,11800000,Dakar, media/annonces/pics/thumbs/15e8e83a46d0b4ca4e69c90f4553d210.jpeg ,4,vehicles
127,SUZUKI VITARA,8500000,Dakar, media/annonces/pics/thumbs/b13be53f269193bd4706bc6883bc4517.jpeg ,4,vehicles
128,Hyundai elantra année 2014       ,30000000,Dakar, media/annonces/pics/thumbs/31eede195ce47d55e1e57f8a75227a26.jpeg ,4,vehicles
129,Toyota Prado TXL année 2023,57000000,Dakar, media/annonces/pics/thumbs/6b76fc4e684df48b7052d52cc6d42f79.jpeg ,4,vehicles
130,Toyota Land Twin Turbo année 2022,80000000,Dakar, media/annonces/pics/thumbs/ec91b917f5fa4bbb00082e133268ef2f.jpeg ,4,vehicles
131,Toyota Land Cruiser année 2023,97000000,Dakar, media/annonces/pics/thumbs/1cc3fdc40fcadb56f1691957569d62ad.jpeg ,4,vehicles
132,TOYOTA PRADO TXL Année 2020,40000000,Dakar, media/annonces/pics/thumbs/3789a1dd208a89910eddcb9437a2299a.jpeg ,4,vehicles
133,BMW 520d,2500000,Mbao, media/annonces/pics/thumbs/94eb8c9bf3b9a52398784840d6e0643e.jpeg ,4,vehicles
134,Prado Land cruiser en location,95000,Dakar, media/annonces/pics/thumbs/e17176d6edfc10cdbae3a84f8fb27ff5.jpeg ,4,vehicles
135,Mercedes CIA Fully disponible en location,80000,Dakar, media/annonces/pics/thumbs/51e8dcd8dffa1bac06d10046a94c5c24.jpeg ,4,vehicles
136,Hyundai Elantra en location,40000,Dakar, media/annonces/pics/thumbs/2904d3415e9778f79b36354ca0f0b2b0.jpeg ,4,vehicles
137,Hyundai Elantra 2016,40000,Dakar, media/annonces/pics/thumbs/15041d4b56aeb7b492082772bd5d0204.jpeg ,4,vehicles
138,Madza Cx5 très propres en location,45000,Dakar, media/annonces/pics/thumbs/bc0d0428553c15ddaf2286ee396d55d8.jpeg ,4,vehicles
139,Ford F-150 Platinum 2016,25500000,Dieuppeul, media/annonces/pics/thumbs/8f513fedba929603c087d53faa0caaf9.jpg ,4,vehicles
140,Vente voiture ford,3500000,Dakar, media/annonces/pics/thumbs/31ddc0ef95deca5cffa37b11b0ab9c5c.jpg ,4,vehicles
141,Citroen C3 ,2500000,Sacré Coeur, media/annonces/pics/thumbs/b3108fd579ec4fbe46588e6caf31c756.jpg ,4,vehicles
142,Peugeot 307,2450000,Parcelles assainies, media/annonces/pics/thumbs/e9052ecd75de068796fd5a68bd5ffbf2.jpg ,4,vehicles
143,Vélo VTT,75000,Grand Yoff, img/nophoto.png ,4,vehicles
144,TRICYCLES AGANANMA EN PROMOTION,1425000,Dakar, media/annonces/pics/thumbs/42f73dc99f50330270562ca3f29852ec.jpg ,4,vehicles
145,hyundai elantra ,35000,Dakar, media/annonces/pics/thumbs/64ad693e1c29bab51ac6c4709353e354.jpeg ,4,vehicles
146,kia ,35000,Dakar, media/annonces/pics/thumbs/b66778be84008e7f85f9716408d44a9b.jpeg ,4,vehicles
147,Jeep grand Cherokee,85000,Dakar, media/annonces/pics/thumbs/8671699bc8d1cba001bb4ebfea8c6962.jpeg ,4,vehicles
148,Mazda Cx5 année 2015,65000,Dakar, media/annonces/pics/thumbs/b279b18e1ca6114954d85a7873cedc65.jpeg ,4,vehicles
149,4X4 TATA GRAND SAFARI Papier complet 2million200,2200000,Keur Massar, media/annonces/pics/thumbs/a6f40def68d62d9512a825e1777da578.jpg ,4,vehicles
150,Suzuki Dzire,40000,Dakar, media/annonces/pics/thumbs/0efbdb0d94133f93cd99a9e1f5e7db90.jpeg ,4,vehicles
151,ford focus titanium,35000,Dakar, media/annonces/pics/thumbs/2dead62286afab16dc6c8fefa9eed6ff.jpeg ,4,vehicles
152,hyuidai elantra ,35000,Dakar, media/annonces/pics/thumbs/af5acf930b36a9275a99ab98a29f8f9b.jpeg ,4,vehicles
153,Jeep Cherokee ,40000,Dakar, media/annonces/pics/thumbs/199bc778744ffba5267c989c93464214.jpeg ,4,vehicles
154,Mazda,40000,Dakar, media/annonces/pics/thumbs/1d11c25d3d059924b1572aab5b521d9e.jpeg ,4,vehicles
155,Moto Kymko People 150,500000,Bambey, media/annonces/pics/thumbs/861d1917c086952c852d4e583e334186.jpeg ,4,vehicles
156,Liberty 2T 50cm3 en bon état,199000,Hann Bel-Air, media/annonces/pics/thumbs/a56c264eaab467ee3ae9a46c7d5a2388.jpg ,4,vehicles
157,Mitsubishi Pajero,2500000,Rufisque, media/annonces/pics/thumbs/f70d283bc57d59ff4464b6ce73dc62fd.jpg ,4,vehicles
158,Hyundai elantra,35000,Dakar, img/nophoto.png ,4,vehicles
159,Mazda CX5 Année 2016  ,10500000,Dakar, media/annonces/pics/thumbs/a43309ab75cdc40f3473960803d03bba.jpeg ,4,vehicles
160,MITSUBISHI RVR,8800000,Dakar, media/annonces/pics/thumbs/16b175f32a295ef45d5a037ee8b81103.jpeg ,4,vehicles
161,Peugeot 3008 VENANT 2018,17200000,Dakar, media/annonces/pics/thumbs/6362f5de5f9ae8dabb351412346762f5.jpg ,4,vehicles
162,Toyota C-HR Hybrid 2019,16450000,Dakar, media/annonces/pics/thumbs/0d5c1174ed34328fbfbf009bab32938c.jpg ,4,vehicles
163,Hyandai Santa Fe 2017 sous douane,7000000,Sicap Foire, media/annonces/pics/thumbs/86f315e078f3ab2b6e3adda70b3985f2.jpeg ,4,vehicles
164,Kia sportage 2017,13500000,Dakar, media/annonces/pics/thumbs/1ba264403af387bfaf9e2f2ae71668e7.jpeg ,5,vehicles
165,Ranger Rover Evoque 2014,10500000,Dakar, media/annonces/pics/thumbs/d3159f22d897dc167889db559fb62314.jpeg ,5,vehicles
166,Peugeot * Modèle  3008 Année : 2016                       ,7600000,Dakar, media/annonces/pics/thumbs/b96096db1d2617861de8fa39251db6ce.jpeg ,5,vehicles
167,Ford Explorer XLT. Année 2016 ,10500000,Dakar, media/annonces/pics/thumbs/0f8c4f8adb76c9ce1b4f5a2debe5f0d3.jpeg ,5,vehicles
168,Casque moto,200000,Hann Bel-Air, media/annonces/pics/thumbs/07168a4dcd5d979a7c586c92d6e66ba3.jpg ,5,vehicles
169,Range rover sport année 2015   ,23000000,Dakar, media/annonces/pics/thumbs/c533397fc546b652dec5e3b148170403.jpeg ,5,vehicles
170,Nissan 370 a Année:2014,5500000,Dakar, media/annonces/pics/thumbs/94d4eeaa94730cfcda8d75a6121f3266.jpeg ,5,vehicles
171,"Kenwood DMX7706S 6.95"" Digital Media Receiver w/Bluetooth, Apple CarPlay and Android Auto",205000,Almadies, media/annonces/pics/thumbs/3d0e15d6aba34773f1a075e9786d92f9.jpg ,5,vehicles
172,NISSAN PATROL,28000000,Almadies, media/annonces/pics/thumbs/5ffd9fae1e96afa8059790768af5bdf7.jpg ,5,vehicles
173,Casque,55000,Liberté 2, media/annonces/pics/thumbs/b04cbdcde1f16849f3fae56ab4f55627.jpeg ,5,vehicles
174,Peugeot Satelis RS 550ie ABS modèle 2014 Venant papiers cmc ,950000,Fass, media/annonces/pics/thumbs/acf3088a4d3e377d6d855888d74d54de.jpg ,5,vehicles
175,Équipement protection moto,39000,Castors, media/annonces/pics/thumbs/5cf7fb62de2643d688f2af530960af43.jpeg ,5,vehicles
176,Kymco People S 200ie injection Venant papiers cmc original ,675000,Fass, media/annonces/pics/thumbs/f1660cf5688504fbb19f9a03d1a18440.jpg ,5,vehicles
177,Moto,180000,Parcelles assainies, img/nophoto.png ,5,vehicles
178,Moto scooter a vendre,450000,Ouakam, img/nophoto.png ,5,vehicles
179,GPS TRACKER VEHICULE AU SENEGAL,55000,Dakar, media/annonces/pics/thumbs/c9ad1fc3291ed04823a2439d64765c71.jpg ,5,vehicles
180, FORD Edge Titanium  2019,19000000,Dakar, media/annonces/pics/thumbs/a8aad472693e1df311b029cd185d97dd.jpeg ,5,vehicles
181,Isuzu IMPULSE année 2013,3800000,Dakar, media/annonces/pics/thumbs/942d997db1af102e9d6bfbd4bd16e0fa.jpeg ,5,vehicles
182,BMW X6 X_DRIVE 2016 VERSION V8 M PERFORMANCE,39000000,Dakar, media/annonces/pics/thumbs/7c836f9714f4e68002a30e3fb2cabce1.jpeg ,5,vehicles
183,Hyundai Elantra hybride année 2023 ,23000000,Dakar, media/annonces/pics/thumbs/f16006ccbcfd4bfb029d9302833d6480.jpeg ,5,vehicles
184,Dodge Avenger 2012,2400000,Derklé, media/annonces/pics/thumbs/c17265063cc1617cf9e4ed4deee7fd22.jpeg ,5,vehicles
185,Chevrolet EquinoX 2012,3100000,Yoff, media/annonces/pics/thumbs/25d3ac6c983a34a6e8fef14e559187d3.jpg ,5,vehicles
186,Peugeot 508,3900000,Nord Foire, media/annonces/pics/thumbs/0e7ccc1d3fa3b860f6aa79516310a50d.jpg ,5,vehicles
187,Lexus UX 200 SPORT ,32000000,Nord Foire, media/annonces/pics/thumbs/6c5ebf594e35e14e19031fce5fd9b942.jpg ,5,vehicles
188,Voiture C3,2000000,Diamalaye, media/annonces/pics/thumbs/7b6ee69ad3ed45ba50b0c741910dc5f5.jpeg ,5,vehicles
189,Jeep latitude,7800000,Ouest Foire, media/annonces/pics/thumbs/d523592f254ec5fea6231a77e4e2e599.jpg ,5,vehicles
