details,price,adress,image_link,page,category
SCOOTER T-MAX 560 TECH,9500000,Golf, media/annonces/pics/thumbs/34858f118ded3097ce0e1d2e59ac7395.jpeg ,2,vehicles
Peugeot 308 2012,3950000,Dakar, media/annonces/pics/thumbs/72f2190abbaa919de1444f4f78f018af.jpg ,2,vehicles
Mazda CX5 Année 2019,15000000,Cité Keur Gorgui, media/annonces/pics/thumbs/3d3dfbce74a196bcdf56293a1f9bdf36.jpeg ,2,vehicles
FORD FOCUS 2013,3700000,Mbao, media/annonces/pics/thumbs/1014b1524641a36d78a399023368e52b.jpeg ,2,vehicles
Ford Focus 2014 Titanium,3250000,Ouest Foire, media/annonces/pics/thumbs/a3a4c1b2a00995a3312491a5262eadd9.jpg ,2,vehicles
LOCATION VÉHICULES FORD,30000,Thiaroye, media/annonces/pics/thumbs/b8ed7832b592f31124f3d36101b68ff1.jpg ,2,vehicles
BMW X1 ANNÉE 2015,8800000,Amitié, media/annonces/pics/thumbs/c710c59edaef79e26b17d9c4872a6387.jpeg ,2,vehicles
FORD FOCUS ESSENCE ANNÉE 2013,2800000,Parcelles assainies, media/annonces/pics/thumbs/eb756654a28ecbacbdb25e8012e7fe7c.jpg ,2,vehicles
Renault Kangoo 2013,2750000,Castors, media/annonces/pics/thumbs/98a27f46c0456b8d06387223e2fd2b99.jpg ,2,vehicles
Ford Focus 2013,3700000,Colobane, media/annonces/pics/thumbs/7776cf5af4266635f3d4a90c4f35f04b.jpeg ,2,vehicles
Vente peugeot 301 ,3300000,Fass, media/annonces/pics/thumbs/b7bab049ab0f19ced64cb27fe1716244.jpg ,2,vehicles
Excellente offre ford focus,2700000,Maristes, media/annonces/pics/thumbs/26333dd264bb80a3a56b002cc15cbfab.jpg ,2,vehicles
Hyundai Sonata,7000000,Fass, media/annonces/pics/thumbs/00ec7fb78b39b5cec27fb6e8602ee56d.jpeg ,2,vehicles
MITSUBISHI PAJERO SPORT 2014,14300000,VDN, media/annonces/pics/thumbs/a0a349f2e6229eb39a490d04fb67a12e.jpeg ,2,vehicles
FORD RANGER 2014,10700000,VDN, media/annonces/pics/thumbs/545f56c8e3ce01d7cd2e73709abe93a3.jpeg ,2,vehicles
Vends Honda Dominator 650,650000,Somone, media/annonces/pics/thumbs/f91a914e637d7a72c74c2d2d2e02bf84.jpg ,2,vehicles
"Toyota Highlander, importée des USA, année 2015",15000000,Ouakam, media/annonces/pics/thumbs/ea322d53cf75a915c727c46994d06c69.jpeg ,2,vehicles
Mitsubishi Pajero 2004,2000000,Virage, media/annonces/pics/thumbs/46c93cc376058ee9df1ef90bdd16a17c.jpg ,2,vehicles
Honda @ 150cc,400000,Cambérène, media/annonces/pics/thumbs/32ca4523d69d24d5a4d0da94ef5fc4a8.jpeg ,2,vehicles
Kymco agility 150,370000,Cambérène, media/annonces/pics/thumbs/1c819bd683a453f85151082547071801.jpeg ,2,vehicles
Peugeot 308 T9,5200000,Fass, media/annonces/pics/thumbs/9acff006ea9e1bf1e499228b4ecdfff4.jpeg ,2,vehicles
Mitsibishi RvR 2017 Automatique Essence sous douane,7000000,Scat Urbam, media/annonces/pics/thumbs/e1905419d1b6416ce31ad3cd70d17146.jpeg ,2,vehicles
CRYSLER 200 2016 A VENDRE,7500000,Sacré Coeur, media/annonces/pics/thumbs/8cfd5d59c10f46546a3a0168bffc648b.jpg ,2,vehicles
JEEP COMPAS 2017 A VENDRE,12500000,Sacré Coeur, media/annonces/pics/thumbs/d3403c4570e2c2a2329dcb8650a7c07f.jpg ,2,vehicles
Jeep Cherokee 2015,6500000,Parcelles assainies, media/annonces/pics/thumbs/616b81045c5a8ee41394cd0c47355307.jpg ,2,vehicles
Nissan Rogue 2009,2850000,Cité Batrain, media/annonces/pics/thumbs/6aa59ad750e64fe6c97550d257ad5010.jpg ,2,vehicles
KIA SPORTAGE 2016 A VENDRE,14700000,Sacré Coeur, media/annonces/pics/thumbs/e20a1326ad37fd07c3469b470adb394f.jpg ,2,vehicles
FORD ESCAPE TITANIUM 2014 A VENDRE,7800000,Sacré Coeur, media/annonces/pics/thumbs/df81b44295c343fd366c4362083a7512.jpg ,2,vehicles
Ford Focus 2014,4000000,Castors, media/annonces/pics/thumbs/d6c547d1f9bd0b995bc403dc8a3eee88.jpg ,2,vehicles
Hyundai Tucson 2007,2950000,Dakar, media/annonces/pics/thumbs/03d934fb1fc759ead82441b3c2f45a8a.jpg ,2,vehicles
Renault Clio 3,3000000,Dakar, media/annonces/pics/thumbs/272cce65a61de6dedb3305a4cfef0b1b.jpg ,2,vehicles
Ford Focus 2012 Venant,4800000,Keur Massar, media/annonces/pics/thumbs/5f7079be409e2743c7936da2ddead824.jpg ,2,vehicles
Hyandai elantra 2015 Automatique Essence full options venant déjà dédouané,6000000,Mbao, media/annonces/pics/thumbs/d260b7244784b5a53be830554de6d80b.jpeg ,2,vehicles
Mini aspirateur Portatif sans fil Rechargeable,45000,Dakar, media/annonces/pics/thumbs/9160dcd765461bc08bc5ff4478ef1fe7.jpg ,2,vehicles
Ford Focus,4500000,Almadies, media/annonces/pics/thumbs/d708d52e9d4a935725453ab3a7fbf2fb.jpeg ,2,vehicles
Hyundai Elantra,5850000,Liberté 6, media/annonces/pics/thumbs/ca582db87597ba2d7f27a6bb2e19c802.jpeg ,2,vehicles
Hyundai  Tucson 4/4 Automatique  Essence⛽️ Annee 2015 ,8700000,Liberté 6, media/annonces/pics/thumbs/4bf43e12b1c188152f498a514d4bc3f4.jpeg ,2,vehicles
BMW 324 diesel,700000,Pikine, img/nophoto.png ,2,vehicles
Hyundai Elantra 2015 Venant,6200000,Keur Massar, media/annonces/pics/thumbs/13c6ea5b33f5528f0b321d684cda5f16.jpg ,3,vehicles
Ford Fusion titanium,35000,Dakar, media/annonces/pics/thumbs/fa46aa05d5236228467be1ba5b7f72eb.jpeg ,3,vehicles
RANGE ROVER SPORT année 2015,12700000,Dakar, media/annonces/pics/thumbs/fc228b1c888127f5daaa79b71ff207c7.jpeg ,3,vehicles
MITSUBISHI MONTERO SPORT  4WD Année 2023     ,33000000,Dakar, media/annonces/pics/thumbs/3bcbacaf07431392f99fda98c6af3523.jpeg ,3,vehicles
Mercedes GLA 250 Année 2016,11500000,Dakar, media/annonces/pics/thumbs/d7313ddd0bc4c80a28ccb1708b5fd3ba.jpeg ,3,vehicles
Mercedes Gls 580 ,96000000,Dakar, media/annonces/pics/thumbs/3de5394990421a8175b57c090a136995.jpeg ,3,vehicles
Mercedes GLG  Année 2016,25000000,Dakar, media/annonces/pics/thumbs/edcea9c9f67393e9d2e2039b6691d3a4.jpeg ,3,vehicles
Mercedes gla 250,14500000,Dakar, media/annonces/pics/thumbs/19fe8e04512ce1241528f56298cd87fe.jpeg ,3,vehicles
Mercedes GLE 450d année a2017,29000000,Dakar, media/annonces/pics/thumbs/31f226e6ff949408a320487c03b6f102.jpeg ,3,vehicles
JEEP GRAND CHEROKEE 2017 A VENDRE,20500000,Sacré Coeur, media/annonces/pics/thumbs/5e4b89697a9bc0a87fb094079238248a.jpg ,3,vehicles
Voiture à un prix imbattable,3000000,VDN, media/annonces/pics/thumbs/b05edf7c3426b2001c77d077c542186c.jpg ,3,vehicles
Voiture à un prix imbattable,48000000,Dakar, media/annonces/pics/thumbs/d16aadbfd36a0a216c39fc5ffba7c7a0.jpg ,3,vehicles
Citroën c4 2017,7500000,Ouest Foire, media/annonces/pics/thumbs/87875174ce58b5695cb114f5e3e465b7.jpeg ,3,vehicles
KIA SPORTAGE,9500000,Nord Foire, media/annonces/pics/thumbs/022c54667ee1f8688ff3f14c33576437.jpeg ,3,vehicles
Hyundai palisade ,29000000,Nord Foire, media/annonces/pics/thumbs/e3ddf71390a67bb46a146a1504a9395e.jpeg ,3,vehicles
Ford  Escape année 2012,4800000,Dakar, media/annonces/pics/thumbs/63612e7d060332a62ba8a387dfe8d0d0.jpeg ,3,vehicles
Hyundai grandeur  Année 2013,4800000,Dakar, media/annonces/pics/thumbs/fb18fdf753bb26768dbde0b5fd5e0cb5.jpeg ,3,vehicles
Hyundai  Grandeur Sport,8700000,Dakar, media/annonces/pics/thumbs/711fe8398afc276fd26162c161db3d03.jpeg ,3,vehicles
Fiat Doblo 2012,2600000,Castors, media/annonces/pics/thumbs/2a033bc2f1f8a167866ce8d83458f54b.jpg ,3,vehicles
Kia Sportage,9800000,Fass, media/annonces/pics/thumbs/df8e12be467c9ea1dac5a3681ac33ba6.jpeg ,3,vehicles
Mazda Cx5,8900000,Fass, media/annonces/pics/thumbs/607c3392f1ff2c533cedf023f641f7cf.jpeg ,3,vehicles
Moto Cross Yamaha YZ 125cc 2temps 2016,1600000,Ngaparou, img/nophoto.png ,3,vehicles
Facilitez vous la vie avec cette Ford,3500000,Thiès, media/annonces/pics/thumbs/a538bff00087df310697751cd06ffd48.jpg ,3,vehicles
La Ford de votre vie !,6000000,Grand Yoff, media/annonces/pics/thumbs/e1049bdeebbe4703ed72f88017a5ede7.jpg ,3,vehicles
Scooter racing Aprilia,200000,Dakar, media/annonces/pics/thumbs/4c2b709a0ee7d9e0023a399653313db2.jpeg ,3,vehicles
Peugeot 2008 VENANT 2022,16500000,Dakar, media/annonces/pics/thumbs/11e5c9d223fe7ef77cd6f9ca0696d264.jpeg ,3,vehicles
HYUNDAI grand STAREX,16000000,Dakar, media/annonces/pics/thumbs/748481d5496940f64d4438aea83a6e25.jpeg ,3,vehicles
Citroen Elysée année 2021,5200000,Dakar, media/annonces/pics/thumbs/df9401d98318dc6540e538d9db1cfa1c.jpeg ,3,vehicles
LEXUS UX 200 SPORT,33000000,Dakar, media/annonces/pics/thumbs/6223b15d6159be78e8c60ca0290b5670.jpeg ,3,vehicles
Hyundai Elantra en location,35000,Dakar, media/annonces/pics/thumbs/3acec3b6fca4f3fe02c324d45afc312c.jpeg ,3,vehicles
Bus Renault Iliade année 2013,14000000,Dakar, media/annonces/pics/thumbs/5a17d3c470c53b8beec1c3ded1357c6c.jpeg ,3,vehicles
Chevrolet cobalt année 2008,2600000,Dakar, media/annonces/pics/thumbs/b70f8c43b04c05c555ff6eaf6c1d95b7.jpeg ,3,vehicles
FORD  ESCAPE CARRÉ année 2012,4850000,Dakar, media/annonces/pics/thumbs/80ee7976898a21d396416d3d04a5bc54.jpeg ,3,vehicles
Renault Duster  année   2014         ,6600000,Dakar, media/annonces/pics/thumbs/7e2d06a73fb535ea176524b5ba1b012a.jpeg ,3,vehicles
HYUNDAI TUCSON année 2016,11600000,Dakar, media/annonces/pics/thumbs/fc6cd164571932d9935426479f28bcbd.jpeg ,3,vehicles
Ford focus année 2014,3500000,Dakar, media/annonces/pics/thumbs/33ba988c40cb912442c854a61a63b2d1.jpeg ,3,vehicles
Chrysler 200 année 2015,5400000,Dakar, media/annonces/pics/thumbs/23e9b17c5ef00c189c95b9959d9ea35f.jpeg ,3,vehicles
Hyundai Elantra année 2014,4300000,Dakar, media/annonces/pics/thumbs/d487fb63aa59e1e1b95e031daefd5526.jpeg ,3,vehicles
Ford Edge 2020,18500000,Dakar, media/annonces/pics/thumbs/4d0a5eb6a06483abf00baf985c5202d5.jpg ,3,vehicles
Chevrolet Cruze 2013,2850000,Derklé, media/annonces/pics/thumbs/b05142b88487f71bc67a42eb9cf16814.jpg ,3,vehicles
Ford fusion à louer,35000,Dakar, media/annonces/pics/thumbs/8b4762b6b1e7d1352649c3cdafc0d1c8.jpeg ,4,vehicles
Ford Escape en location,40000,Dakar, media/annonces/pics/thumbs/12eeed9f0ef0fd9983084a2cfd1262d6.jpeg ,4,vehicles
Ford fusion à louer,30000,Dakar, media/annonces/pics/thumbs/e363dc6a79e6142e6d781c07efe010ef.jpeg ,4,vehicles
Jeep Cherokee à louer,35000,Dakar, media/annonces/pics/thumbs/40219d38c78f27d9e53b10033ae40f21.jpeg ,4,vehicles
KIA Sportage à louer,45000,Dakar, media/annonces/pics/thumbs/7180dfbf865d281c45528d8561672b49.jpeg ,4,vehicles
Pick-up disponible en location,50000,Dakar, media/annonces/pics/thumbs/c5a5df6f965aa0462bd6b8d7db11624c.jpeg ,4,vehicles
Mitsubishi à louer,60000,Dakar, media/annonces/pics/thumbs/e9916e129c45b587c30740733f1d9341.jpeg ,4,vehicles
BMW X3 XDRIVE année 2015,11800000,Dakar, media/annonces/pics/thumbs/15e8e83a46d0b4ca4e69c90f4553d210.jpeg ,4,vehicles
SUZUKI VITARA,8500000,Dakar, media/annonces/pics/thumbs/b13be53f269193bd4706bc6883bc4517.jpeg ,4,vehicles
Hyundai elantra année 2014       ,30000000,Dakar, media/annonces/pics/thumbs/31eede195ce47d55e1e57f8a75227a26.jpeg ,4,vehicles
Toyota Prado TXL année 2023,57000000,Dakar, media/annonces/pics/thumbs/6b76fc4e684df48b7052d52cc6d42f79.jpeg ,4,vehicles
Toyota Land Twin Turbo année 2022,80000000,Dakar, media/annonces/pics/thumbs/ec91b917f5fa4bbb00082e133268ef2f.jpeg ,4,vehicles
Toyota Land Cruiser année 2023,97000000,Dakar, media/annonces/pics/thumbs/1cc3fdc40fcadb56f1691957569d62ad.jpeg ,4,vehicles
TOYOTA PRADO TXL Année 2020,40000000,Dakar, media/annonces/pics/thumbs/3789a1dd208a89910eddcb9437a2299a.jpeg ,4,vehicles
BMW 520d,2500000,Mbao, media/annonces/pics/thumbs/94eb8c9bf3b9a52398784840d6e0643e.jpeg ,4,vehicles
Prado Land cruiser en location,95000,Dakar, media/annonces/pics/thumbs/e17176d6edfc10cdbae3a84f8fb27ff5.jpeg ,4,vehicles
Mercedes CIA Fully disponible en location,80000,Dakar, media/annonces/pics/thumbs/51e8dcd8dffa1bac06d10046a94c5c24.jpeg ,4,vehicles
Hyundai Elantra en location,40000,Dakar, media/annonces/pics/thumbs/2904d3415e9778f79b36354ca0f0b2b0.jpeg ,4,vehicles
Hyundai Elantra 2016,40000,Dakar, media/annonces/pics/thumbs/15041d4b56aeb7b492082772bd5d0204.jpeg ,4,vehicles
Madza Cx5 très propres en location,45000,Dakar, media/annonces/pics/thumbs/bc0d0428553c15ddaf2286ee396d55d8.jpeg ,4,vehicles
Ford F-150 Platinum 2016,25500000,Dieuppeul, media/annonces/pics/thumbs/8f513fedba929603c087d53faa0caaf9.jpg ,4,vehicles
Vente voiture ford,3500000,Dakar, media/annonces/pics/thumbs/31ddc0ef95deca5cffa37b11b0ab9c5c.jpg ,4,vehicles
Citroen C3 ,2500000,Sacré Coeur, media/annonces/pics/thumbs/b3108fd579ec4fbe46588e6caf31c756.jpg ,4,vehicles
