details,price,adress,image_link,page,category
Peugeot 307,2450000,Parcelles assainies, media/annonces/pics/thumbs/e9052ecd75de068796fd5a68bd5ffbf2.jpg ,4,vehicles
Vélo VTT,75000,Grand Yoff, img/nophoto.png ,4,vehicles
TRICYCLES AGANANMA EN PROMOTION,1425000,Dakar, media/annonces/pics/thumbs/42f73dc99f50330270562ca3f29852ec.jpg ,4,vehicles
hyundai elantra ,35000,Dakar, media/annonces/pics/thumbs/64ad693e1c29bab51ac6c4709353e354.jpeg ,4,vehicles
kia ,35000,Dakar, media/annonces/pics/thumbs/b66778be84008e7f85f9716408d44a9b.jpeg ,4,vehicles
Jeep grand Cherokee,85000,Dakar, media/annonces/pics/thumbs/8671699bc8d1cba001bb4ebfea8c6962.jpeg ,4,vehicles
Mazda Cx5 année 2015,65000,Dakar, media/annonces/pics/thumbs/b279b18e1ca6114954d85a7873cedc65.jpeg ,4,vehicles
4X4 TATA GRAND SAFARI Papier complet 2million200,2200000,Keur Massar, media/annonces/pics/thumbs/a6f40def68d62d9512a825e1777da578.jpg ,4,vehicles
Suzuki Dzire,40000,Dakar, media/annonces/pics/thumbs/0efbdb0d94133f93cd99a9e1f5e7db90.jpeg ,4,vehicles
ford focus titanium,35000,Dakar, media/annonces/pics/thumbs/2dead62286afab16dc6c8fefa9eed6ff.jpeg ,4,vehicles
hyuidai elantra ,35000,Dakar, media/annonces/pics/thumbs/af5acf930b36a9275a99ab98a29f8f9b.jpeg ,4,vehicles
Jeep Cherokee ,40000,Dakar, media/annonces/pics/thumbs/199bc778744ffba5267c989c93464214.jpeg ,4,vehicles
Mazda,40000,Dakar, media/annonces/pics/thumbs/1d11c25d3d059924b1572aab5b521d9e.jpeg ,4,vehicles
Moto Kymko People 150,500000,Bambey, media/annonces/pics/thumbs/861d1917c086952c852d4e583e334186.jpeg ,4,vehicles
Liberty 2T 50cm3 en bon état,199000,Hann Bel-Air, media/annonces/pics/thumbs/a56c264eaab467ee3ae9a46c7d5a2388.jpg ,4,vehicles
Mitsubishi Pajero,2500000,Rufisque, media/annonces/pics/thumbs/f70d283bc57d59ff4464b6ce73dc62fd.jpg ,4,vehicles
Hyundai elantra,35000,Dakar, img/nophoto.png ,4,vehicles
Mazda CX5 Année 2016  ,10500000,Dakar, media/annonces/pics/thumbs/a43309ab75cdc40f3473960803d03bba.jpeg ,4,vehicles
MITSUBISHI RVR,8800000,Dakar, media/annonces/pics/thumbs/16b175f32a295ef45d5a037ee8b81103.jpeg ,4,vehicles
Peugeot 3008 VENANT 2018,17200000,Dakar, media/annonces/pics/thumbs/6362f5de5f9ae8dabb351412346762f5.jpg ,5,vehicles
Toyota C-HR Hybrid 2019,16450000,Dakar, media/annonces/pics/thumbs/0d5c1174ed34328fbfbf009bab32938c.jpg ,5,vehicles
Hyandai Santa Fe 2017 sous douane,7000000,Sicap Foire, media/annonces/pics/thumbs/86f315e078f3ab2b6e3adda70b3985f2.jpeg ,5,vehicles
Kia sportage 2017,13500000,Dakar, media/annonces/pics/thumbs/1ba264403af387bfaf9e2f2ae71668e7.jpeg ,5,vehicles
Ranger Rover Evoque 2014,10500000,Dakar, media/annonces/pics/thumbs/d3159f22d897dc167889db559fb62314.jpeg ,5,vehicles
Peugeot * Modèle  3008 Année : 2016                       ,7600000,Dakar, media/annonces/pics/thumbs/b96096db1d2617861de8fa39251db6ce.jpeg ,5,vehicles
Ford Explorer XLT. Année 2016 ,10500000,Dakar, media/annonces/pics/thumbs/0f8c4f8adb76c9ce1b4f5a2debe5f0d3.jpeg ,5,vehicles
Casque moto,200000,Hann Bel-Air, media/annonces/pics/thumbs/07168a4dcd5d979a7c586c92d6e66ba3.jpg ,5,vehicles
Range rover sport année 2015   ,23000000,Dakar, media/annonces/pics/thumbs/c533397fc546b652dec5e3b148170403.jpeg ,5,vehicles
Nissan 370 a Année:2014,5500000,Dakar, media/annonces/pics/thumbs/94d4eeaa94730cfcda8d75a6121f3266.jpeg ,5,vehicles
"Kenwood DMX7706S 6.95"" Digital Media Receiver w/Bluetooth, Apple CarPlay and Android Auto",205000,Almadies, media/annonces/pics/thumbs/3d0e15d6aba34773f1a075e9786d92f9.jpg ,5,vehicles
NISSAN PATROL,28000000,Almadies, media/annonces/pics/thumbs/5ffd9fae1e96afa8059790768af5bdf7.jpg ,5,vehicles
Casque,55000,Liberté 2, media/annonces/pics/thumbs/b04cbdcde1f16849f3fae56ab4f55627.jpeg ,5,vehicles
Peugeot Satelis RS 550ie ABS modèle 2014 Venant papiers cmc ,950000,Fass, media/annonces/pics/thumbs/acf3088a4d3e377d6d855888d74d54de.jpg ,5,vehicles
Équipement protection moto,39000,Castors, media/annonces/pics/thumbs/5cf7fb62de2643d688f2af530960af43.jpeg ,5,vehicles
Kymco People S 200ie injection Venant papiers cmc original ,675000,Fass, media/annonces/pics/thumbs/f1660cf5688504fbb19f9a03d1a18440.jpg ,5,vehicles
Moto,180000,Parcelles assainies, img/nophoto.png ,5,vehicles
Moto scooter a vendre,450000,Ouakam, img/nophoto.png ,5,vehicles
GPS TRACKER VEHICULE AU SENEGAL,55000,Dakar, media/annonces/pics/thumbs/c9ad1fc3291ed04823a2439d64765c71.jpg ,5,vehicles
 FORD Edge Titanium  2019,19000000,Dakar, media/annonces/pics/thumbs/a8aad472693e1df311b029cd185d97dd.jpeg ,5,vehicles
Isuzu IMPULSE année 2013,3800000,Dakar, media/annonces/pics/thumbs/942d997db1af102e9d6bfbd4bd16e0fa.jpeg ,5,vehicles
BMW X6 X_DRIVE 2016 VERSION V8 M PERFORMANCE,39000000,Dakar, media/annonces/pics/thumbs/7c836f9714f4e68002a30e3fb2cabce1.jpeg ,5,vehicles
Hyundai Elantra hybride année 2023 ,23000000,Dakar, media/annonces/pics/thumbs/f16006ccbcfd4bfb029d9302833d6480.jpeg ,5,vehicles
Dodge Avenger 2012,2400000,Derklé, media/annonces/pics/thumbs/c17265063cc1617cf9e4ed4deee7fd22.jpeg ,5,vehicles
Chevrolet EquinoX 2012,3100000,Yoff, media/annonces/pics/thumbs/25d3ac6c983a34a6e8fef14e559187d3.jpg ,5,vehicles
Peugeot 508,3900000,Nord Foire, media/annonces/pics/thumbs/0e7ccc1d3fa3b860f6aa79516310a50d.jpg ,5,vehicles
Lexus UX 200 SPORT ,32000000,Nord Foire, media/annonces/pics/thumbs/6c5ebf594e35e14e19031fce5fd9b942.jpg ,5,vehicles
Voiture C3,2000000,Diamalaye, media/annonces/pics/thumbs/7b6ee69ad3ed45ba50b0c741910dc5f5.jpeg ,5,vehicles
Jeep latitude,7800000,Ouest Foire, media/annonces/pics/thumbs/d523592f254ec5fea6231a77e4e2e599.jpg ,5,vehicles
Golf Jetta 2011,2750000,Liberté 6, media/annonces/pics/thumbs/b3958de52647ecc90f9b56f970e75847.jpg ,5,vehicles
