web-scraper-order,web-scraper-start-url,details,prix,adresse,image-lien
"1706122899-309","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Yamaha neos4 Nouveau modèle 4t50cc","380 000 FCFA","Castors",""
"1706122899-310","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Scooter Venant 4 temps 125 cc","250 000 FCFA","Guédiawaye",""
"1706122899-311","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","X8 Piaggio 250ie injection Venant","850 000 FCFA","Fass",""
"1706122899-312","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Kisbee 50 black édition nouveau modèle 2021","375 000 FCFA","Dakar",""
"1706122899-313","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Quad Cfmoto 1000","7 800 000 FCFA","Mbour",""
"1706122899-314","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Aprillia sxr 50c année 2022","800 000 FCFA","Dakar",""
"1706122899-315","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","TMAX 2019 SX","2 300 000 FCFA","Golf",""
"1706122899-316","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Scooter Sh 150i Avec Carte grise Assurance 1 Ans sa fume 400 000 FCFA","","Dakar",""
"1706122899-317","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Vespa lx 50cc","450 000 FCFA","Dakar",""
"1706122899-318","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Yamaha XMAX Sport 125ie injection Venant","725 000 FCFA","Fass",""
"1706122899-319","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Kymco Dink 200ie injection Venant","625 000 FCFA","Fass",""
"1706122899-320","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Yamaha neos4 injection 4t50cc","380 000 FCFA","Dakar",""
"1706122899-321","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Kymco Agility fR 4t50cc","350 000 FCFA","Guédiawaye",""
"1706122899-322","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Motos à vendre","570 000 FCFA","Castors",""
"1706122899-323","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Piaggio Free 50cc","275 000 FCFA","Dakar",""
"1706122899-324","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Sym fiddle2 4t50cc","350 000 FCFA","Dakar",""
"1706122899-325","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Liberty s nouveau modèle","450 000 FCFA","Dakar",""
"1706122899-326","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Honda SH 125i","375 000 FCFA","Malika",""
"1706122899-327","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Vespa lx 50cc","","Dakar",""
"1706122899-328","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Kisbee","350 FCFA","Dakar",""
"1706122899-329","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Liberty 4v nouveau modèle","","Dakar",""
"1706122899-330","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Liberty 50","220 000 FCFA","Dakar",""
"1706122899-331","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Zip 50","250 FCFA","Dakar",""
"1706122899-332","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Honda Sh 2021","2 100 000 FCFA","Parcelles assainies",""
"1706122899-333","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Burgman 200ie freins ABS Venant","725 000 FCFA","HLM",""
"1706122899-334","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Yamaha Cygnus X 125cc avec carte grise","550 000 FCFA","Médina",""
"1706122899-335","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Sportcity one 125cc","550 FCFA","Dakar",""
"1706122899-336","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Vespa","420 000 FCFA","Dakar",""
"1706122899-337","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Piaggio Fly nouveau modèle 4t50cc","380 000 FCFA","Dakar",""
"1706122899-338","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Moto jakarta","490 000 FCFA","Castors",""
"1706122899-339","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Gilera sp 50cc nouveau","380 000 FCFA","Dakar",""
"1706122899-340","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","F12R 50cc nouveau modèle","375 000 FCFA","Dakar",""
"1706122899-341","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Xmax 400","1 200 000 FCFA","Dieuppeul",""
"1706122899-342","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Piaggio 4 temps","120 000 FCFA","Rufisque",""
"1706122899-343","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Peugeot Rs 4t50cc injection","350 000 FCFA","Dakar",""
"1706122899-344","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Mbk nitro","350 000 FCFA","Golf",""
"1706122899-345","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=3","Kymco 200cc","600 000 FCFA","Médina",""
"1706122904-346","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Huojun","280 000 FCFA","Dakar",""
"1706122904-347","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Scooter Lifan","1 750 000 FCFA","Derklé",""
"1706122904-348","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Kymco Like 200ie injection Venant papiers cmc original","650 000 FCFA","Fass",""
"1706122904-349","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","MOTO MALAGUTI SANS PAPIERS","120 000 FCFA","Mbao",""
"1706122904-350","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Moto HONDA","500 000 FCFA","Mbour",""
"1706122904-351","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Burgman 200ie injection freins ABS avant-arrière venant papiers cmc original","700 000 FCFA","Fass",""
"1706122904-352","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Peugeot Vivacity 100cm3 carburateur venant papiers cmc disponible","500 000 FCFA","Fass",""
"1706122904-353","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Malaguty f12R nouveau modèle 50cc","375 000 FCFA","Dakar",""
"1706122904-354","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Scooter moto Beverly 250km/h dakar senegal","400 000 FCFA","Dakar",""
"1706122904-355","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Yamaha flipper 125cc injection","550 000 FCFA","Dakar",""
"1706122904-356","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Honda Vision 110ie injection venant papiers cmc","675 000 FCFA","Fass",""
"1706122904-357","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Moto à vendre","2 300 000 FCFA","Dakar",""
"1706122904-358","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Burgman 200cm3 injection ABS papiers cmc original","700 000 FCFA","Fass",""
"1706122904-359","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Moto scooter","350 000 FCFA","Grand Yoff",""
"1706122904-360","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Gilera Stalker Naked nouveau model 50cc","365 000 FCFA","Dakar",""
"1706122904-361","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","TRICYCLE","","Pikine",""
"1706122904-362","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Je vends une moto Liberty 200 Piaggio","45 000 FCFA","Médina",""
"1706122904-363","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Honda X-adv de 2018","3 300 000 FCFA","Dakar",""
"1706122904-364","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio nrg mc3 80cc","365 000 FCFA","Dakar",""
"1706122904-365","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio liberty 50cc","285 000 FCFA","Dakar",""
"1706122904-366","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio liberty 50cc","285 000 FCFA","Dakar",""
"1706122904-367","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio liberty 50cc","285 000 FCFA","Dakar",""
"1706122904-368","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Av Kawasaki zr 750","1 500 000 FCFA","Yeumbeul Sud",""
"1706122904-369","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Moto cross  DFZ","875 000 FCFA","Liberté 2",""
"1706122904-370","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Yamaha Aerox nouveau modèle 50cc","700 000 FCFA","Dakar",""
"1706122904-371","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","XADW 750 ANNÉE 2018","3 000 000 FCFA","Dakar",""
"1706122904-372","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Jakarta KTM","450 000 FCFA","HLM",""
"1706122904-373","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Burgman Executive 200ie injection ABS Venant","675 000 FCFA","Dakar",""
"1706122904-374","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Scooter suzuki","300 000 FCFA","Rufisque",""
"1706122904-375","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Liberty s nouveau modèle 50cc","375 000 FCFA","Dakar",""
"1706122904-376","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Liberty 4t50cc","285 000 FCFA","Dakar",""
"1706122904-377","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Liberty 4t50cc","300 000 FCFA","Dakar",""
"1706122904-378","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","T-MAX HONDA FORZA 2019","1 700 000 FCFA","Pikine",""
"1706122904-379","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio zip 80","180 000 FCFA","Ouest Foire",""
"1706122904-380","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Kymco Dink 125cm3 carburateur Venant","575 000 FCFA","Fass",""
"1706122904-381","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Malaguty f12r nouveau modèle 50cc","365 000 FCFA","Dakar",""
"1706122904-382","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Honda intégrale","1 800 000 FCFA","Dakar",""
"1706122904-383","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Burgman 150cm3 carburateur Venant papiers cmc original disponible","600 000 FCFA","Fass",""
"1706122904-384","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","TRICYCLE","1 480 000 FCFA","Sacré Coeur",""
"1706122904-385","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Piaggio FLY 125cm3 carburateur Venant papiers cmc original disponible","650 000 FCFA","Fass",""
"1706122904-386","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Peugeot kisbee Rs nouveau modèle 4t50cc","375 000 FCFA","Dakar",""
"1706122904-387","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=2","Malaguty f12r nouveau modèle 50cc","375 000 FCFA","Dakar",""
"1706122909-388","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Ordinateur Lenovo Thinkpad X380","230 000 FCFA","Dakar",""
"1706122909-389","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","TRICYCLES EN PROMOTION","1 580 000 FCFA","Dakar",""
"1706122909-390","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","SCOOTER T-MAX 560 TECH","9 500 000 FCFA","Golf",""
"1706122909-391","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Vends Honda Dominator 650","650 000 FCFA","Somone",""
"1706122909-392","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Honda @ 150cc","400 000 FCFA","Cambérène",""
"1706122909-393","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco agility 150","370 000 FCFA","Cambérène",""
"1706122909-394","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto en excellent état - Performances exceptionnelles, Prix attractif !","","Dakar",""
"1706122909-395","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto Cross Yamaha YZ 125cc 2temps 2016","1 600 000 FCFA","Ngaparou",""
"1706122909-396","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Scooter racing Aprilia","200 000 FCFA","Dakar",""
"1706122909-397","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","TRICYCLES AGANANMA EN PROMOTION","1 425 000 FCFA","Dakar",""
"1706122909-398","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto Kymko People 150","500 000 FCFA","Bambey",""
"1706122909-399","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Liberty 2T 50cm3 en bon état","199 000 FCFA","Hann Bel-Air",""
"1706122909-400","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Peugeot Satelis RS 550ie ABS modèle 2014 Venant papiers cmc","950 000 FCFA","Fass",""
"1706122909-401","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco People S 200ie injection Venant papiers cmc original","675 000 FCFA","Fass",""
"1706122909-402","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto","180 000 FCFA","Parcelles assainies",""
"1706122909-403","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto scooter a vendre","450 000 FCFA","Ouakam",""
"1706122909-404","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Honda africain twin 1000L, année 2016","4 000 000 FCFA","Dakar",""
"1706122909-405","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","YAMAHA XCITY 250I VENANT","1 000 000 FCFA","Patte d'Oie",""
"1706122909-406","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Yamaha Nmax 125ie ABS modèle 2015/20 venant papiers cmc original disponible","1 150 000 FCFA","Fass",""
"1706122909-407","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Honda Vision 110ie injection venant papiers cmc original","675 000 FCFA","Fass",""
"1706122909-408","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco Dink 125cm3 carburateur Venant papiers cmc original","625 000 FCFA","Amitié",""
"1706122909-409","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Yamaha TMAX 2018","3 000 000 FCFA","Almadies",""
"1706122909-410","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Xmax 250ie ABS modèle 2012 venant papiers cmc original disponibles","1 200 000 FCFA","Fass",""
"1706122909-411","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Tmax","2 800 000 FCFA","Hann Maristes",""
"1706122909-412","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco Agility 125cm3 carburateur Venant papiers cmc disponible","525 000 FCFA","Fass",""
"1706122909-413","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","MOTO TRICYCLE A VENDRE AU SENEGAL","1 480 000 FCFA","Sacré Coeur",""
"1706122909-414","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","MOTOCROSS","","Thiaroye",""
"1706122909-415","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco Dink 125cm3 carburateur Venant papiers cmc original","675 000 FCFA","Fass",""
"1706122909-416","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco pipole 50cc","350 000 FCFA","Dakar",""
"1706122909-417","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Sym orbit2 nouveau modèle 4t50cc","365 000 FCFA","Dakar",""
"1706122909-418","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","MoTo Yamaha","500 000 FCFA","Dakar",""
"1706122909-419","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","MOTO TRICYCLE A VENDRE AU SENEGAL","1 480 000 FCFA","Dakar",""
"1706122909-420","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","X9 500 injection avec carte à grise à vendre en bon état","550 000 FCFA","Thiès",""
"1706122909-421","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Honda SH 125","250 000 FCFA","Mbao",""
"1706122909-422","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Piaggio Skipper ST 125cm3 carburateur Venant papiers","650 000 FCFA","Fass",""
"1706122909-423","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Kymco Agility 125cc","160 000 FCFA","Mbao",""
"1706122909-424","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Moto Kymco Grand Dink 250","350 000 FCFA","Guédiawaye",""
"1706122909-425","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Symphony 4t50cc","365 000 FCFA","Dakar",""
"1706122909-426","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","HONDA CRF 1000L AFRICA TWIN 2018, en boite automatique DCT","3 800 000 FCFA","Dakar",""
"1706122909-427","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Piaggio tayphon nouveau modèle 125cc turbo","1 FCFA","Dakar",""
"1706122909-428","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","Vente flash vespa LX Gts250ie","600 000 FCFA","HLM",""
"1706122909-429","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=1","MBK ovetto","320 000 FCFA","Cité avion",""
